"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
05/19/2020 15:49:37,Send,223cdc9f78d86f2f89907d2180abe90ef57dd13fcfaad153ba8dbc55a8a88d0d,,,...,...,,,,,6500.00058391,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00058391,BTC,...,
05/25/2020 12:54:00,Send,c308c5a81faea07c3e5ae1a32ce30ba48b667b301c28f99bcd1dcedb0f4f9cf7,,,...,...,,,,,8500.00062244,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00062244,BTC,...,
07/01/2020 00:51:54,Receive,d8c63f6af3a4f885fd6df6a4bc5a90bcede5a25eabc8d490ca2d82356e574394,0.00010970,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,,,...,...,,,,,0.00007491,BTC,...,
07/25/2020 03:28:13,Receive,b1a971161b4ea75c590a40b52483185923564e32fadbfc8a52e2d5bfdb59e73e,0.00010000,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,,,...,...,,,,,0.00003255,BTC,...,
08/12/2020 23:02:21,Receive,2655b8285c8fdbbe4686bac1940abe356642af71a340387168d4c0214cda68fc,0.00000371,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,,,...,...,,,,,0.00002364,BTC,...,
08/19/2020 20:31:23,Receive,fddfcb948837575038465d59e6975f8f5a2587d7ce1147910fb150c7e2221ef0,0.00000547,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,,,...,...,,,,,0.00008225,BTC,...,
09/03/2020 16:39:20,Send,42bf06bf879c77f953c3f562699af94dd071f1257b3c3febf8ddaf372af0e99b,,,...,...,,,,,4500.00138141,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00138141,BTC,...,
09/08/2020 06:46:49,Receive,11600bb4abf09aeedf1f4e1ab03a17b0bbc7677fe6100d29834b04df1e0b5f74,8000.00000000,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,,,...,...,,,,,0.00724100,BTC,...,
09/26/2020 19:05:49,Receive,daf85cf5053e0abdd5ff1cad8404da23b5698d652dd5844f9b5e6aef3a4d0ab2,0.00000777,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,,,...,...,,,,,0.00000178,BTC,...,
11/06/2020 04:22:31,Receive,eb5dfb1d24fa8252e3696a0d9429de242368ea8149fe3d944dac48de53b34415,0.00003333,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,,,...,...,,,,,0.00001175,BTC,...,
11/08/2020 12:22:58,Send,5d7ee0a22c3969787eac8e95ca70a7450a88b25b35034b7833c009fc205d0a82,,,...,...,,,,,3500.00224910,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00224910,BTC,...,
11/17/2020 18:16:27,Send,4503f09ea49ea654a4b24aafe877dc6c59a416e356693a2d269a3b1080f27e4d,,,...,...,,,,,3000.00027500,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00027500,BTC,...,
